metric,mean,p10,p50,p90
handle,2755434.4533518013,2420552.763992508,2643766.563794219,3216942.656432544
hold,0.06307817525098398,0.05154488639218027,0.06523201198336956,0.07295817631530033
net_margin,0.03419529614325451,0.02285200728460745,0.03618090195156874,0.043979327501224665
promo_rate,0.0009273071192793964,0.0008039233380965485,0.0009283549451458955,0.0010416404753985828
sharp_still_active_7d,0.7715978110721219,0.7525269262634632,0.7700320512820513,0.7932442176493427
sharp_still_active_30d,0.6408470689598803,0.6059318533815178,0.6428733095682679,0.6840220385674931
sharp_still_active_60d,0.4387525518099315,0.40335570469798654,0.4285629099582588,0.48807986969898054
sharp_still_active_90d,0.2566251562687108,0.20955601445534333,0.2613704778063598,0.30187744001403694
regular_still_active_7d,0.3542636780374469,0.3312206572769953,0.35040155157342656,0.3737379955675942
regular_still_active_30d,0.19888923388279103,0.17940812815826254,0.20451144186552744,0.22248800327715357
regular_still_active_60d,0.0690754573119426,0.04528814787966654,0.07112896705073782,0.08893635547332046
regular_still_active_90d,0.024704437958538373,0.011572754206495612,0.024782565105145753,0.03836110045486929
casual_still_active_7d,0.1656777385296222,0.14673596673596676,0.15904142083814854,0.20513441211013964
casual_still_active_30d,0.03682929499974106,0.028610702012763868,0.0340617048346056,0.04855831959280235
casual_still_active_60d,0.0018709754958295508,0.0,0.0,0.0050569620253164554
casual_still_active_90d,0.0,0.0,0.0,0.0
promo_hunter_still_active_7d,0.11230730957990376,0.06465433300876339,0.12054367201426025,0.14693304007820138
promo_hunter_still_active_30d,0.016865199854855274,0.0,0.018340046029919448,0.03212504156967077
promo_hunter_still_active_60d,0.0,0.0,0.0,0.0
promo_hunter_still_active_90d,0.0,0.0,0.0,0.0
